Date,Centre_Name,Commodity_Name,Price
3/12/1997,T.PURAM,Wheat,12
3/12/1997,CHENNAI,Wheat,10.5
3/12/1997,HYDERABAD,Wheat,8.5
4/12/1997,DELHI,Wheat,6.5
4/12/1997,SHIMLA,Wheat,NA
4/12/1997,LUCKNOW,Wheat,4.9
4/12/1997,AHMEDABAD,Wheat,7.5
4/12/1997,BHOPAL,Wheat,6
4/12/1997,MUMBAI,Wheat,10
4/12/1997,JAIPUR,Wheat,6.25
4/12/1997,PATNA,Wheat,7.5
4/12/1997,BHUBANESHWAR,Wheat,7.7
4/12/1997,KOLKATA,Wheat,NA
4/12/1997,GUWAHATI,Wheat,NA
4/12/1997,SHILLONG,Wheat,8
4/12/1997,AIZWAL,Wheat,NA
4/12/1997,AGARTALA,Wheat,NA
4/12/1997,BENGALURU,Wheat,9.5
4/12/1997,T.PURAM,Wheat,11
4/12/1997,CHENNAI,Wheat,10.5
4/12/1997,HYDERABAD,Wheat,8.5
5/12/1997,DELHI,Wheat,6.5
5/12/1997,SHIMLA,Wheat,NA
5/12/1997,LUCKNOW,Wheat,4.9
5/12/1997,AHMEDABAD,Wheat,7.5
5/12/1997,BHOPAL,Wheat,6
5/12/1997,MUMBAI,Wheat,10
5/12/1997,JAIPUR,Wheat,6
5/12/1997,PATNA,Wheat,5.75
5/12/1997,BHUBANESHWAR,Wheat,7.5
5/12/1997,KOLKATA,Wheat,7
5/12/1997,GUWAHATI,Wheat,NA
5/12/1997,SHILLONG,Wheat,8
5/12/1997,AIZWAL,Wheat,NA
5/12/1997,AGARTALA,Wheat,NA
5/12/1997,BENGALURU,Wheat,NA
5/12/1997,T.PURAM,Wheat,11
5/12/1997,CHENNAI,Wheat,NA
5/12/1997,HYDERABAD,Wheat,8.5
8/12/1997,DELHI,Wheat,6.5
8/12/1997,SHIMLA,Wheat,NA
8/12/1997,LUCKNOW,Wheat,4.9
8/12/1997,AHMEDABAD,Wheat,7.5
8/12/1997,BHOPAL,Wheat,6.5
8/12/1997,MUMBAI,Wheat,NA
8/12/1997,JAIPUR,Wheat,6
8/12/1997,PATNA,Wheat,5.75
8/12/1997,BHUBANESHWAR,Wheat,7.5
8/12/1997,KOLKATA,Wheat,7
8/12/1997,GUWAHATI,Wheat,NA
8/12/1997,SHILLONG,Wheat,8
8/12/1997,AIZWAL,Wheat,NA
8/12/1997,AGARTALA,Wheat,NA
8/12/1997,BENGALURU,Wheat,NA
8/12/1997,T.PURAM,Wheat,11
8/12/1997,CHENNAI,Wheat,11
8/12/1997,HYDERABAD,Wheat,8.5
9/12/1997,DELHI,Wheat,6.5
9/12/1997,SHIMLA,Wheat,NA
9/12/1997,LUCKNOW,Wheat,4.9
9/12/1997,AHMEDABAD,Wheat,7.5
9/12/1997,BHOPAL,Wheat,6.5
9/12/1997,MUMBAI,Wheat,NA
9/12/1997,JAIPUR,Wheat,6
9/12/1997,PATNA,Wheat,5.75
9/12/1997,BHUBANESHWAR,Wheat,7.5
9/12/1997,KOLKATA,Wheat,7
9/12/1997,GUWAHATI,Wheat,NA
9/12/1997,SHILLONG,Wheat,8
9/12/1997,AIZWAL,Wheat,NA
9/12/1997,AGARTALA,Wheat,NA
9/12/1997,BENGALURU,Wheat,NA
9/12/1997,T.PURAM,Wheat,11
9/12/1997,CHENNAI,Wheat,11
9/12/1997,HYDERABAD,Wheat,8.5
10/12/1997,DELHI,Wheat,6.5
10/12/1997,SHIMLA,Wheat,NA
10/12/1997,LUCKNOW,Wheat,5
10/12/1997,AHMEDABAD,Wheat,7.5
10/12/1997,BHOPAL,Wheat,6
10/12/1997,MUMBAI,Wheat,NA
10/12/1997,JAIPUR,Wheat,6
10/12/1997,PATNA,Wheat,5.75
10/12/1997,BHUBANESHWAR,Wheat,7.5
10/12/1997,KOLKATA,Wheat,7
10/12/1997,GUWAHATI,Wheat,NA
10/12/1997,SHILLONG,Wheat,8
10/12/1997,AIZWAL,Wheat,NA
10/12/1997,AGARTALA,Wheat,NA
10/12/1997,BENGALURU,Wheat,NA
10/12/1997,T.PURAM,Wheat,11
10/12/1997,CHENNAI,Wheat,11
10/12/1997,HYDERABAD,Wheat,8.5
11/12/1997,DELHI,Wheat,6.5
11/12/1997,SHIMLA,Wheat,NA
11/12/1997,LUCKNOW,Wheat,5
11/12/1997,AHMEDABAD,Wheat,7.5
11/12/1997,BHOPAL,Wheat,6
11/12/1997,MUMBAI,Wheat,NA
11/12/1997,JAIPUR,Wheat,6
11/12/1997,PATNA,Wheat,5.75
11/12/1997,BHUBANESHWAR,Wheat,7.5
11/12/1997,KOLKATA,Wheat,7
11/12/1997,GUWAHATI,Wheat,NA
11/12/1997,SHILLONG,Wheat,8
11/12/1997,AIZWAL,Wheat,NA
11/12/1997,AGARTALA,Wheat,NA
11/12/1997,BENGALURU,Wheat,NA
11/12/1997,T.PURAM,Wheat,11
11/12/1997,CHENNAI,Wheat,10.5
11/12/1997,HYDERABAD,Wheat,8.5
12/12/1997,DELHI,Wheat,6.5
12/12/1997,SHIMLA,Wheat,NA
12/12/1997,LUCKNOW,Wheat,5
12/12/1997,AHMEDABAD,Wheat,7.5
12/12/1997,BHOPAL,Wheat,6
12/12/1997,MUMBAI,Wheat,NA
12/12/1997,JAIPUR,Wheat,6
12/12/1997,PATNA,Wheat,6
12/12/1997,BHUBANESHWAR,Wheat,7.5
12/12/1997,KOLKATA,Wheat,7
12/12/1997,GUWAHATI,Wheat,NA
12/12/1997,SHILLONG,Wheat,8
12/12/1997,AIZWAL,Wheat,NA
12/12/1997,AGARTALA,Wheat,NA
12/12/1997,BENGALURU,Wheat,NA
12/12/1997,T.PURAM,Wheat,11
